incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race
278426561,2023-12-03T00:00:00.000,00:23:00,BROOKLYN,INSIDE,90,0,DWELLING,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC
278428992,2023-12-02T00:00:00.000,18:56:00,BRONX,OUTSIDE,47,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
278428997,2023-12-02T00:00:00.000,21:00:00,QUEENS,INSIDE,102,0,COMMERCIAL,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,45-64,M,ASIAN / PACIFIC ISLANDER
278340835,2023-12-01T00:00:00.000,02:28:00,BROOKLYN,OUTSIDE,60,0,STREET,FALSE,(null),(null),(null),25-44,F,BLACK
278340835,2023-12-01T00:00:00.000,02:28:00,BROOKLYN,OUTSIDE,60,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
278428994,2023-12-01T00:00:00.000,17:48:00,BROOKLYN,INSIDE,67,0,COMMERCIAL,TRUE,(null),(null),(null),25-44,M,BLACK
278310327,2023-11-30T00:00:00.000,07:13:00,BRONX,OUTSIDE,42,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
278323511,2023-11-30T00:00:00.000,20:09:00,BROOKLYN,OUTSIDE,79,2,HOUSING,FALSE,(null),(null),(null),18-24,M,BLACK
278264515,2023-11-29T00:00:00.000,18:40:00,BRONX,OUTSIDE,44,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
278187039,2023-11-28T00:00:00.000,19:33:00,BROOKLYN,OUTSIDE,67,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
278187039,2023-11-28T00:00:00.000,19:33:00,BROOKLYN,OUTSIDE,67,0,STREET,TRUE,(null),(null),(null),25-44,M,BLACK
278201749,2023-11-28T00:00:00.000,17:45:00,BROOKLYN,OUTSIDE,81,1,TRANSIT,FALSE,18-24,M,WHITE HISPANIC,<18,M,BLACK
278201749,2023-11-28T00:00:00.000,17:45:00,BROOKLYN,OUTSIDE,81,1,TRANSIT,FALSE,18-24,M,WHITE HISPANIC,45-64,M,ASIAN / PACIFIC ISLANDER
278187038,2023-11-28T00:00:00.000,14:17:00,BROOKLYN,OUTSIDE,75,0,STREET,TRUE,(null),(null),(null),25-44,M,BLACK
278066395,2023-11-26T00:00:00.000,01:31:00,BROOKLYN,OUTSIDE,79,2,HOUSING,FALSE,(null),(null),(null),18-24,M,WHITE HISPANIC
278068696,2023-11-26T00:00:00.000,02:20:00,BRONX,OUTSIDE,40,0,STREET,FALSE,45-64,M,BLACK,25-44,M,BLACK
278085501,2023-11-26T00:00:00.000,15:30:00,BROOKLYN,OUTSIDE,73,0,STREET,TRUE,(null),(null),(null),<18,M,BLACK
278085502,2023-11-26T00:00:00.000,23:50:00,BRONX,OUTSIDE,45,0,STREET,TRUE,(null),(null),(null),45-64,M,WHITE HISPANIC
278066397,2023-11-25T00:00:00.000,01:34:00,QUEENS,OUTSIDE,110,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
278066396,2023-11-25T00:00:00.000,04:46:00,MANHATTAN,OUTSIDE,32,0,STREET,FALSE,25-44,M,BLACK,25-44,M,BLACK
278066398,2023-11-25T00:00:00.000,23:20:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK
278066398,2023-11-25T00:00:00.000,23:20:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK
277978378,2023-11-23T00:00:00.000,22:55:00,BROOKLYN,INSIDE,81,2,HOUSING,TRUE,45-64,M,BLACK,65+,F,BLACK
277978186,2023-11-23T00:00:00.000,20:45:00,QUEENS,OUTSIDE,113,0,STREET,FALSE,25-44,M,BLACK,45-64,M,BLACK
277978380,2023-11-23T00:00:00.000,23:43:00,MANHATTAN,OUTSIDE,32,0,STREET,TRUE,45-64,M,BLACK,45-64,M,BLACK
277973677,2023-11-23T00:00:00.000,00:30:00,BRONX,OUTSIDE,49,0,PARKING LOT,FALSE,(null),(null),(null),25-44,M,BLACK
277973198,2023-11-23T00:00:00.000,14:00:00,BRONX,OUTSIDE,44,0,VEHICLE,FALSE,25-44,M,BLACK,25-44,M,BLACK
277973676,2023-11-23T00:00:00.000,01:54:00,BROOKLYN,OUTSIDE,88,2,HOUSING,FALSE,(null),(null),(null),25-44,M,BLACK
277940860,2023-11-22T00:00:00.000,10:08:00,STATEN ISLAND,INSIDE,120,0,DWELLING,FALSE,(null),(null),(null),25-44,M,BLACK
277957687,2023-11-22T00:00:00.000,20:08:00,BROOKLYN,OUTSIDE,70,0,DWELLING,FALSE,25-44,M,BLACK,18-24,M,BLACK
277940861,2023-11-22T00:00:00.000,10:50:00,QUEENS,INSIDE,114,0,DWELLING,FALSE,65+,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC
277863513,2023-11-21T00:00:00.000,11:38:00,BROOKLYN,OUTSIDE,83,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
277829335,2023-11-20T00:00:00.000,20:16:00,BROOKLYN,OUTSIDE,66,0,STREET,FALSE,(null),(null),(null),18-24,M,WHITE HISPANIC
278143542,2023-11-20T00:00:00.000,22:05:00,QUEENS,OUTSIDE,114,0,STREET,TRUE,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,WHITE HISPANIC
277829335,2023-11-20T00:00:00.000,20:16:00,BROOKLYN,OUTSIDE,66,0,STREET,FALSE,(null),(null),(null),<18,M,WHITE HISPANIC
278143542,2023-11-20T00:00:00.000,22:05:00,QUEENS,OUTSIDE,114,0,STREET,TRUE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC
277829336,2023-11-20T00:00:00.000,21:47:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,18-24,M,BLACK,18-24,M,BLACK
277770906,2023-11-19T00:00:00.000,05:55:00,QUEENS,OUTSIDE,114,0,STREET,FALSE,(null),(null),(null),25-44,M,WHITE HISPANIC
277770907,2023-11-19T00:00:00.000,02:26:00,BROOKLYN,OUTSIDE,83,0,STREET,FALSE,45-64,M,BLACK,25-44,M,BLACK
277770910,2023-11-19T00:00:00.000,11:30:00,BRONX,OUTSIDE,43,2,HOUSING,FALSE,(null),(null),(null),45-64,M,BLACK
277777076,2023-11-19T00:00:00.000,15:00:00,BROOKLYN,OUTSIDE,78,0,OTHER,FALSE,(null),(null),(null),25-44,M,BLACK
277781932,2023-11-19T00:00:00.000,20:45:00,QUEENS,OUTSIDE,101,0,HOUSING,FALSE,(null),(null),(null),<18,M,BLACK
277788398,2023-11-19T00:00:00.000,19:04:00,BRONX,OUTSIDE,46,0,STREET,TRUE,(null),(null),(null),25-44,M,BLACK
277770908,2023-11-19T00:00:00.000,01:21:00,BROOKLYN,OUTSIDE,69,0,COMMERCIAL,FALSE,(null),(null),(null),18-24,M,BLACK HISPANIC
277770909,2023-11-19T00:00:00.000,14:00:00,BRONX,INSIDE,44,1,TRANSIT,FALSE,(null),(null),(null),25-44,M,BLACK
277770905,2023-11-18T00:00:00.000,19:03:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,(null),(null),(null),<18,F,BLACK
277742138,2023-11-18T00:00:00.000,09:16:00,BRONX,OUTSIDE,48,0,PARKING LOT,FALSE,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC
277742137,2023-11-18T00:00:00.000,07:41:00,BRONX,OUTSIDE,44,0,STREET,FALSE,(null),(null),(null),18-24,M,WHITE HISPANIC
277768704,2023-11-17T00:00:00.000,18:58:00,BROOKLYN,INSIDE,75,0,DWELLING,TRUE,45-64,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
277742136,2023-11-17T00:00:00.000,20:00:00,BROOKLYN,OUTSIDE,71,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
277768704,2023-11-17T00:00:00.000,18:58:00,BROOKLYN,INSIDE,75,0,DWELLING,TRUE,45-64,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC
277740838,2023-11-17T00:00:00.000,19:37:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,(null),(null),(null),<18,M,BLACK
277554580,2023-11-15T00:00:00.000,01:15:00,BRONX,INSIDE,43,0,COMMERCIAL,FALSE,<18,M,BLACK,18-24,M,WHITE HISPANIC
277602230,2023-11-15T00:00:00.000,21:07:00,MANHATTAN,OUTSIDE,28,0,STREET,TRUE,25-44,M,WHITE HISPANIC,25-44,M,BLACK
277554581,2023-11-15T00:00:00.000,06:30:00,BRONX,OUTSIDE,48,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK HISPANIC
277525073,2023-11-14T00:00:00.000,22:01:00,BROOKLYN,OUTSIDE,75,0,HOUSING,FALSE,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER
277442469,2023-11-13T00:00:00.000,12:05:00,BROOKLYN,OUTSIDE,88,0,HOUSING,FALSE,(null),(null),(null),25-44,F,BLACK
277459535,2023-11-13T00:00:00.000,18:00:00,BRONX,INSIDE,40,0,DWELLING,FALSE,(null),(null),(null),18-24,M,BLACK
277437584,2023-11-12T00:00:00.000,23:49:00,BROOKLYN,OUTSIDE,73,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
277418605,2023-11-12T00:00:00.000,22:07:00,BRONX,OUTSIDE,48,0,STREET,FALSE,45-64,M,BLACK,25-44,F,BLACK
277407816,2023-11-11T00:00:00.000,12:30:00,BROOKLYN,INSIDE,60,0,PARKING LOT,FALSE,65+,M,WHITE,65+,M,WHITE
277283092,2023-11-09T00:00:00.000,06:12:00,MANHATTAN,OUTSIDE,18,0,STREET,FALSE,65+,M,BLACK,25-44,M,WHITE
277233455,2023-11-08T00:00:00.000,18:30:00,MANHATTAN,OUTSIDE,33,0,STREET,FALSE,(null),(null),(null),25-44,M,WHITE HISPANIC
277159143,2023-11-07T00:00:00.000,17:00:00,BRONX,OUTSIDE,40,2,HOUSING,FALSE,(null),(null),(null),25-44,M,WHITE HISPANIC
277159142,2023-11-07T00:00:00.000,10:50:00,BROOKLYN,OUTSIDE,76,0,HOUSING,FALSE,25-44,M,BLACK,25-44,F,WHITE HISPANIC
277159141,2023-11-07T00:00:00.000,10:43:00,BROOKLYN,OUTSIDE,73,0,COMMERCIAL,FALSE,25-44,M,BLACK,25-44,M,BLACK
277048604,2023-11-05T00:00:00.000,21:39:00,BRONX,OUTSIDE,40,0,HOUSING,FALSE,(null),(null),(null),18-24,M,BLACK
277023147,2023-11-04T00:00:00.000,21:22:00,BROOKLYN,INSIDE,88,0,DWELLING,FALSE,(null),(null),(null),25-44,M,BLACK
277021997,2023-11-04T00:00:00.000,11:19:00,BRONX,INSIDE,41,0,DWELLING,FALSE,(null),(null),(null),<18,M,BLACK
277021996,2023-11-04T00:00:00.000,11:30:00,MANHATTAN,OUTSIDE,25,0,VEHICLE,FALSE,(null),(null),(null),25-44,M,BLACK
277033912,2023-11-04T00:00:00.000,23:10:00,BRONX,INSIDE,42,0,DWELLING,TRUE,(null),(null),(null),25-44,M,WHITE HISPANIC
276933344,2023-11-03T00:00:00.000,00:10:00,STATEN ISLAND,INSIDE,120,0,DWELLING,FALSE,18-24,M,BLACK,18-24,F,BLACK
276973588,2023-11-03T00:00:00.000,23:02:00,QUEENS,OUTSIDE,113,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
276921834,2023-11-02T00:00:00.000,22:30:00,QUEENS,OUTSIDE,101,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
276870187,2023-11-02T00:00:00.000,03:51:00,BROOKLYN,OUTSIDE,77,0,STREET,FALSE,45-64,M,BLACK,25-44,F,BLACK
276800911,2023-11-01T00:00:00.000,03:58:00,MANHATTAN,OUTSIDE,28,0,TRANSIT,FALSE,(null),(null),(null),<18,M,BLACK
276846958,2023-11-01T00:00:00.000,11:25:00,BROOKLYN,INSIDE,67,0,DWELLING,TRUE,(null),(null),(null),45-64,M,BLACK
276785707,2023-10-31T00:00:00.000,17:27:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,18-24,M,BLACK,25-44,M,WHITE HISPANIC
276746689,2023-10-31T00:00:00.000,00:56:00,QUEENS,INSIDE,107,0,DWELLING,FALSE,(null),(null),(null),25-44,M,BLACK
276785707,2023-10-31T00:00:00.000,17:27:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,18-24,M,BLACK,25-44,M,BLACK
276746689,2023-10-31T00:00:00.000,00:56:00,QUEENS,INSIDE,107,0,DWELLING,FALSE,(null),(null),(null),45-64,M,WHITE HISPANIC
276785707,2023-10-31T00:00:00.000,17:27:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,25-44,M,BLACK,25-44,M,BLACK
276785707,2023-10-31T00:00:00.000,17:27:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC
276785708,2023-10-31T00:00:00.000,22:06:00,MANHATTAN,OUTSIDE,14,0,STREET,FALSE,<18,M,BLACK,<18,M,BLACK
276733711,2023-10-30T00:00:00.000,20:16:00,BRONX,INSIDE,42,0,HOUSING,FALSE,(null),(null),(null),<18,M,BLACK
276726281,2023-10-30T00:00:00.000,20:07:00,BROOKLYN,INSIDE,73,0,DWELLING,FALSE,(null),(null),(null),25-44,M,BLACK
276687570,2023-10-29T00:00:00.000,22:39:00,BROOKLYN,INSIDE,67,0,DWELLING,TRUE,45-64,M,BLACK,25-44,M,BLACK
276665994,2023-10-29T00:00:00.000,02:55:00,BRONX,OUTSIDE,47,0,STREET,FALSE,25-44,M,BLACK,25-44,M,BLACK HISPANIC
276665993,2023-10-29T00:00:00.000,04:08:00,BRONX,OUTSIDE,48,0,STREET,FALSE,25-44,M,WHITE HISPANIC,18-24,F,BLACK HISPANIC
276687920,2023-10-29T00:00:00.000,21:38:00,MANHATTAN,OUTSIDE,13,0,STREET,FALSE,18-24,M,BLACK,25-44,M,BLACK
276676881,2023-10-29T00:00:00.000,14:28:00,BROOKLYN,OUTSIDE,73,0,HOUSING,FALSE,<18,M,BLACK HISPANIC,65+,F,BLACK
276665993,2023-10-29T00:00:00.000,04:08:00,BRONX,OUTSIDE,48,0,STREET,FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
276687570,2023-10-29T00:00:00.000,22:39:00,BROOKLYN,INSIDE,67,0,DWELLING,TRUE,45-64,M,BLACK,45-64,M,BLACK
276665995,2023-10-29T00:00:00.000,00:35:00,BROOKLYN,OUTSIDE,84,2,HOUSING,FALSE,25-44,M,BLACK,45-64,M,BLACK
276665994,2023-10-29T00:00:00.000,02:55:00,BRONX,OUTSIDE,47,0,STREET,FALSE,45-64,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
276665996,2023-10-28T00:00:00.000,21:22:00,BRONX,INSIDE,50,2,HOUSING,FALSE,25-44,M,BLACK,25-44,F,WHITE HISPANIC
276665999,2023-10-28T00:00:00.000,14:40:00,BRONX,OUTSIDE,52,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK HISPANIC
276665997,2023-10-28T00:00:00.000,16:22:00,QUEENS,OUTSIDE,103,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
